xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
200,y,200,,,,,,,,,0,0,0,0,None,10,1,41,0,3,0,3,0,None,,,None,0,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,1,41,0,4,0,4,0,None,,,None,0,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,1,41,0,5,0,5,0,None,,,y,1,0.367666959763,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,1,41,0,6,0,6,0,None,,,h,0,0.367875814438,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,1,41,0,7,0,7,0,None,,,y,1,0.634843111038,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,1,41,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,10,2,42,1,0,0,0,0,None,,,t,1,0.584372997284,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,10,2,42,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,3,43,0,0,0,0,0,None,,,h,0,0.467607021332,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,10,3,43,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,11,0,44,3,0,0,0,0,None,,,g,1,0.501146793365,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,11,0,44,3,1,0,1,0,None,,,g,1,0.700906991959,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,11,0,44,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,11,1,45,0,0,0,0,0,None,,,h,0,0.417778968811,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,y,200,,,,,,,,,0,0,0,0,None,11,1,45,0,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,11,2,46,2,0,0,0,0,None,,,h,1,0.384160995483,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,11,2,46,2,1,0,1,0,None,,,h,1,0.50092291832,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
200,h,-200,,,,,,,,,0,0,0,0,None,11,2,46,2,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,11,3,47,1,0,0,0,0,None,,,h,0,0.399888038635,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,11,3,47,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,0,48,3,0,0,0,0,None,,,g,1,0.367531061172,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,0,48,3,1,0,1,0,None,,,g,1,0.56823182106,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,0,48,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,12,1,49,1,0,0,0,0,None,,,h,0,0.434260845184,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,t,200,,,,,,,,,0,0,0,0,None,12,1,49,1,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,2,50,3,0,0,0,0,None,,,g,1,0.384170055389,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,2,50,3,1,0,1,0,None,,,g,1,0.668174028397,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,2,50,3,,,,,,,,,,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
-200,g,-200,,,,,,,,,0,0,0,0,None,12,3,51,3,0,0,0,0,None,,,None,0,,LearningTask,,,59.940207046,3,2015_Mar_19_0937,200,
