StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,circle,yellow,0,0,0,5,0,1,1,7,7,2,58,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,cyan,0,0,0,5,0,1,1,7,7,3,59,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,orange,0,0,0,5,0,1,1,7,7,4,60,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,gray,0,0,0,5,0,1,1,7,7,5,61,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,white,0,0,0,5,0,1,1,7,7,6,62,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,blue,0,0,0,5,0,1,1,7,7,7,63,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,circle,,0,0,0,5,0,1,1,7,,,,,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,0,0,0,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,0,1,1,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,0,2,2,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,yellow,0,0,0,5,0,2,2,2,0,3,3,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,0,4,4,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,white,0,0,0,5,0,2,2,2,0,5,5,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,0,6,6,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,magenta,0,0,0,5,0,2,2,2,0,7,7,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,1,0,8,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,1,1,9,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,1,2,10,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,1,3,11,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,white,0,0,0,5,0,2,2,2,1,4,12,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,yellow,0,0,0,5,0,2,2,2,1,5,13,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,magenta,0,0,0,5,0,2,2,2,1,6,14,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,1,7,15,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,2,0,16,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,2,1,17,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,2,2,18,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,2,3,19,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,white,0,0,0,5,0,2,2,2,2,4,20,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,2,5,21,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,magenta,0,0,0,5,0,2,2,2,2,6,22,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,yellow,0,0,0,5,0,2,2,2,2,7,23,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,3,0,24,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,yellow,0,0,0,5,0,2,2,2,3,1,25,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,3,2,26,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,magenta,0,0,0,5,0,2,2,2,3,3,27,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,3,4,28,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,3,5,29,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,white,0,0,0,5,0,2,2,2,3,6,30,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,3,7,31,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,gray,0,0,0,5,0,2,2,2,4,0,32,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,blue,0,0,0,5,0,2,2,2,4,1,33,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,cyan,0,0,0,5,0,2,2,2,4,2,34,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,yellow,0,0,0,5,0,2,2,2,4,3,35,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,green,0,0,0,5,0,2,2,2,4,4,36,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,4,5,37,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,magenta,0,0,0,5,0,2,2,2,4,6,38,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,white,0,0,0,5,0,2,2,2,4,7,39,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,magenta,0,0,0,5,0,2,2,2,5,0,40,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,line,orange,0,0,0,5,0,2,2,2,5,1,41,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
